For npts = 10 (steps of 2PI/10)
i x[i] sin(x) est(sin(x)) error
5.84336	-0.425779	-0.428629	0.00284986
5.90619	-0.368125	-0.37021	0.00208502
5.96903	-0.309017	-0.310453	0.00143594
6.03186	-0.24869	-0.249595	0.000905168
6.09469	-0.187381	-0.187876	0.000494812
6.15752	-0.125333	-0.12554	0.000206488
6.22035	-0.0627905	-0.0628319	4.13335e-05
6.28319	6.43249e-16	4.16334e-17	6.01616e-16

For npts = 1000 (steps of 2PI/1000)
i x[i] sin(x) est(sin(x)) error
0.00628319	0.00628314	0.00628306	8.26831e-08
0.0125664	0.012566	0.0125658	2.89388e-07
0.0188496	0.0188484	0.0188478	6.20105e-07
0.0251327	0.0251301	0.025129	1.07482e-06
0.0314159	0.0314108	0.0314091	1.65352e-06
0.0376991	0.0376902	0.0376878	2.35618e-06
0.0439823	0.0439681	0.0439649	3.18277e-06
0.0502655	0.0502443	0.0502402	4.13327e-06
0.0565487	0.0565185	0.0565133	5.20762e-06
0.0628319	0.0627905	0.0627841	6.40579e-06
0.069115	0.06906	0.0690523	7.72773e-06
0.0753982	0.0753268	0.0753176	9.17339e-06
0.0816814	0.0815906	0.0815799	1.07427e-05
0.0879646	0.0878512	0.0878388	1.24356e-05
0.0942478	0.0941083	0.0940941	1.42521e-05
0.100531	0.100362	0.100346	1.6192e-05
0.106814	0.106611	0.106593	1.82553e-05
0.113097	0.112856	0.112836	2.04419e-05
0.119381	0.119097	0.119074	2.27518e-05
0.125664	0.125333	0.125308	2.51847e-05
0.131947	0.131564	0.131537	2.77407e-05
0.13823	0.13779	0.13776	3.04196e-05
0.144513	0.144011	0.143978	3.32214e-05
0.150796	0.150226	0.150189	3.61458e-05
0.15708	0.156434	0.156395	3.91929e-05
0.163363	0.162637	0.162595	4.23624e-05
0.169646	0.168833	0.168788	4.56543e-05
0.175929	0.175023	0.174974	4.90684e-05
0.182212	0.181206	0.181153	5.26046e-05
0.188496	0.187381	0.187325	5.62627e-05
0.194779	0.193549	0.193489	6.00426e-05
0.201062	0.19971	0.199646	6.39442e-05
0.207345	0.205863	0.205795	6.79673e-05
0.213628	0.212007	0.211935	7.21118e-05
0.219911	0.218143	0.218067	7.63774e-05
0.226195	0.224271	0.22419	8.0764e-05
0.232478	0.230389	0.230304	8.52715e-05
0.238761	0.236499	0.236409	8.98996e-05
0.245044	0.242599	0.242505	9.46482e-05
0.251327	0.24869	0.24859	9.95171e-05
0.257611	0.254771	0.254666	0.000104506
0.263894	0.260842	0.260732	0.000109615
0.270177	0.266902	0.266787	0.000114843
0.27646	0.272952	0.272832	0.000120192
0.282743	0.278991	0.278865	0.000125659
0.289027	0.285019	0.284888	0.000131245
0.29531	0.291036	0.290899	0.000136951
0.301593	0.297042	0.296899	0.000142774
